place,kde:amenity_hospital,kde:amenity_place_of_worship,kde:amenity_police,kde:leisure_*,kde:tourism_*,kde:shop_*,kde:highway_bus_stop,kde:highway_residential,kde:highway_primary
883,4.914519672161585,3.9653931123726966,4.046521211804352,3.787365464858082,3.3620896335252572,3.792106485468281,3.950178162715,3.6648640604741765,3.494722718829429
884,5.205417097541174,3.999684288585211,4.1012988678505575,3.9672275258685463,3.4987880761322865,3.8543167194100647,3.993300583867942,3.8031072759269424,3.541194397848404
885,5.431943842660775,4.02332192387899,4.1395767646197505,4.129442204437002,3.614834427083859,3.8990660641065062,4.022743937845844,3.922566246918704,3.5770792498747177
786,3.960615720374498,3.9865794439374422,4.002995233124093,3.3062842074480123,2.845299157154199,3.632426057581341,3.963112473620365,4.035261101772175,3.415915075156164
816,3.485160474500615,3.8106179151055386,3.7707009516173913,3.038517897482814,2.657179265090628,3.4671304525069537,3.738508642336601,3.7113546666346284,3.290223299061978
817,4.020297107683135,3.9081455008031387,3.918449807679949,3.218544080609588,2.8127215555231624,3.5770080195188054,3.8763043177165883,3.917522772052127,3.364440774943441
846,3.0393183006744295,3.6394070260168565,3.5156160583426765,2.8268277315771613,2.464588036088812,3.2995429544152657,3.5071488898640144,3.2209836158248653,3.1765373779605994
847,3.432482914055076,3.7364297056273923,3.668741070462653,2.9806882510006147,2.6255075206519205,3.407286318927916,3.641273627760887,3.5230472760210123,3.2464591045207456
848,3.863116001386913,3.8249390781638493,3.8120080466543507,3.144651842378158,2.7827577471084135,3.5127075759375757,3.766204023526564,3.650931855348661,3.314456752226569
877,3.1647257274027187,3.583236956028342,3.4057406235409675,2.820708156478153,2.4343358493005702,3.2394345877917274,3.414267391184284,3.101628548517974,3.1439964180770055
878,3.381864711811349,3.6665844972000308,3.552503627998045,2.945033337499421,2.595213575463535,3.341334589627319,3.535003264560846,3.2375972246953353,3.205831514990809
879,3.647250077267311,3.7438019971668357,3.687452988627918,3.08511834540273,2.7532553839899228,3.4410360928429,3.6458350632924414,3.315070937779506,3.26648280970506
880,3.9431156652187993,3.812842510303481,3.804955949863429,3.2437240967009533,2.908997665238414,3.537576695313618,3.7429642472288673,3.364976112643001,3.3262138705390427
909,3.439083014948763,3.604640823693787,3.4262170450993445,2.9317319832831785,2.5653615865378008,3.2701630987204844,3.4261322247371027,3.109457653968951,3.168854755460103
910,3.494015702506936,3.6702879508195565,3.554695793653773,3.0396389702784,2.7226274025169053,3.363236139645913,3.5234049292420835,3.0748785842746624,3.2208962202706726
793,5.622238940970533,4.128829343032825,4.4240377261928305,4.353716832684814,3.6468673407233405,4.1410317620372545,4.307418932532173,4.018867756254549,3.755149216057367
824,5.684526747856577,4.089671409552137,4.344417828884666,4.32900476139444,3.653703186496153,4.071802524925372,4.218204420031732,4.021831572843196,3.707216912800746
855,5.748130415079872,4.058123322914643,4.25724721539428,4.305456795613482,3.675025085093494,3.9997467677703487,4.128071241216809,4.010096929438349,3.656560065645742
829,4.6070693664885365,3.483226781077315,4.0097250606930785,3.8165696763826045,3.6410000382266263,3.7121995792199876,3.7408570376409074,2.991284600281748,3.380137427204488
859,5.285999287870071,3.6226444623408014,4.0455709708431815,4.024934518589902,3.6901667571170664,3.7587077773025754,3.794250375803154,3.5120182455363054,3.4561449918287295
860,4.781857862166943,3.4619884672489825,3.936618691098302,3.803664775220069,3.6231023916350162,3.652444927243341,3.6622760774196017,3.1262439314097197,3.351740847600583
886,5.720663582953593,4.0256122142386275,4.162396755753996,4.255305338982234,3.706332143060309,3.925989874977228,4.033843561341204,3.952242827888716,3.5991262055025306
916,5.310736862102926,3.9501707014476093,4.034979611194455,4.0424015183385755,3.6082978376180117,3.798841377158359,3.90420096833334,3.696900235725165,3.5039432849366072
917,5.6970652537839666,3.9670540218413937,4.071066442533752,4.18471734181343,3.7285557937419727,3.8348123069799946,3.9317251638319703,3.8403722270030567,3.530781080056606
918,6.0341692668873055,3.9212840742274775,4.0870436686837675,4.24305955637487,3.77887005894297,3.8345312638712965,3.9149103647072785,3.8603079609687487,3.5431302489246264
890,5.465456366704265,3.596230090637345,3.9790417655212695,4.005703272379446,3.703783982385734,3.691252745418428,3.7104991828077303,3.519579531339204,3.426019382919918
920,6.10290499974556,3.7045399556056786,4.014667168227161,4.140711553205422,3.7877121793084987,3.7066935256134848,3.7429929967955946,3.690083912781482,3.4779020300252697
911,3.673742719994195,3.7312687086907115,3.6683570726869505,3.1747609252110944,2.8781390766499912,3.453406057413023,3.611171639484086,3.067947846966245,3.2730764282585376
912,3.944004882218296,3.786316163774689,3.76601454513314,3.332846044498922,3.0322002391487297,3.5393199390841517,3.6885891782104654,3.1058386638391333,3.3251182535068597
913,4.269956693085144,3.8355033984307667,3.849947634417894,3.5064800393001843,3.184326462813881,3.619147471580776,3.756022160740576,3.1970014547342807,3.37608911820816
914,4.619085137985538,3.879325286502217,3.9228727821680702,3.687779238778779,3.3327966168759326,3.690453488263273,3.8140778070451695,3.337261352733446,3.424383288081833
915,4.959496776690358,3.917759787037781,3.984922287932458,3.869417161801799,3.4745867900633707,3.7507293938362825,3.863229722733209,3.513638171396181,3.467763370762551
940,3.585282907654285,3.551938674352625,3.293370344484504,2.934728910105866,2.535592975948509,3.1944908945052646,3.3178798028253382,3.1785045459981323,3.135418369975106
